step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9933, time 24593.44ms, mfu -100.00%
iter 10: loss 10.3076, time 695.35ms, mfu 24.21%, ETA: 21d 21h, progress: 0.0%
iter 20: loss 9.7335, time 688.56ms, mfu 24.23%, ETA: 13d 8h, progress: 0.0%
iter 30: loss 9.4673, time 697.70ms, mfu 24.22%, ETA: 10d 12h, progress: 0.0%
iter 40: loss 9.1558, time 700.34ms, mfu 24.20%, ETA: 9d 2h, progress: 0.0%
iter 50: loss 8.9412, time 699.28ms, mfu 24.19%, ETA: 8d 5h, progress: 0.0%
iter 60: loss 8.8003, time 713.59ms, mfu 24.13%, ETA: 7d 16h, progress: 0.0%
iter 70: loss 8.5044, time 704.87ms, mfu 24.10%, ETA: 7d 6h, progress: 0.0%
iter 80: loss 8.3635, time 712.88ms, mfu 24.05%, ETA: 6d 23h, progress: 0.0%
iter 90: loss 8.1172, time 710.62ms, mfu 24.02%, ETA: 6d 18h, progress: 0.0%
iter 100: loss 7.9683, time 708.42ms, mfu 23.99%, ETA: 6d 13h, progress: 0.0%
iter 110: loss 7.9512, time 706.57ms, mfu 23.98%, ETA: 6d 10h, progress: 0.0%
iter 120: loss 7.5533, time 716.62ms, mfu 23.93%, ETA: 6d 7h, progress: 0.0%
iter 130: loss 7.3106, time 717.27ms, mfu 23.88%, ETA: 6d 4h, progress: 0.0%
iter 140: loss 7.3441, time 705.49ms, mfu 23.88%, ETA: 6d 2h, progress: 0.0%
iter 150: loss 6.9762, time 699.97ms, mfu 23.90%, ETA: 6d 0h, progress: 0.0%
iter 160: loss 6.8398, time 714.38ms, mfu 23.86%, ETA: 5d 23h, progress: 0.0%
iter 170: loss 6.8986, time 715.55ms, mfu 23.83%, ETA: 5d 21h, progress: 0.0%
iter 180: loss 6.8656, time 718.99ms, mfu 23.79%, ETA: 5d 20h, progress: 0.0%
iter 190: loss 6.7542, time 721.30ms, mfu 23.74%, ETA: 5d 19h, progress: 0.0%
iter 200: loss 6.5627, time 713.26ms, mfu 23.73%, ETA: 5d 18h, progress: 0.0%
iter 210: loss 6.6557, time 735.65ms, mfu 23.64%, ETA: 5d 17h, progress: 0.0%
iter 220: loss 6.2889, time 708.01ms, mfu 23.66%, ETA: 5d 17h, progress: 0.0%
iter 230: loss 6.3805, time 734.19ms, mfu 23.58%, ETA: 5d 16h, progress: 0.0%
iter 240: loss 6.1360, time 734.10ms, mfu 23.52%, ETA: 5d 15h, progress: 0.0%
iter 250: loss 6.3928, time 717.39ms, mfu 23.51%, ETA: 5d 15h, progress: 0.0%
iter 260: loss 6.4249, time 714.18ms, mfu 23.52%, ETA: 5d 14h, progress: 0.0%
iter 270: loss 6.3253, time 718.57ms, mfu 23.51%, ETA: 5d 14h, progress: 0.0%
iter 280: loss 6.1717, time 730.51ms, mfu 23.46%, ETA: 5d 13h, progress: 0.0%
iter 290: loss 6.1369, time 731.18ms, mfu 23.42%, ETA: 5d 13h, progress: 0.0%
iter 300: loss 6.1490, time 723.67ms, mfu 23.40%, ETA: 5d 12h, progress: 0.1%
iter 310: loss 6.2405, time 723.79ms, mfu 23.39%, ETA: 5d 12h, progress: 0.1%
iter 320: loss 6.2826, time 725.62ms, mfu 23.37%, ETA: 5d 12h, progress: 0.1%
iter 330: loss 6.2376, time 736.11ms, mfu 23.32%, ETA: 5d 11h, progress: 0.1%
iter 340: loss 6.0432, time 733.37ms, mfu 23.28%, ETA: 5d 11h, progress: 0.1%
iter 350: loss 6.1959, time 737.58ms, mfu 23.24%, ETA: 5d 11h, progress: 0.1%
iter 360: loss 6.0995, time 720.39ms, mfu 23.25%, ETA: 5d 10h, progress: 0.1%
iter 370: loss 5.9889, time 752.03ms, mfu 23.16%, ETA: 5d 10h, progress: 0.1%
iter 380: loss 5.9771, time 736.72ms, mfu 23.13%, ETA: 5d 10h, progress: 0.1%
iter 390: loss 5.7251, time 732.42ms, mfu 23.12%, ETA: 5d 10h, progress: 0.1%
iter 400: loss 5.8812, time 720.61ms, mfu 23.14%, ETA: 5d 10h, progress: 0.1%
iter 410: loss 5.9160, time 720.13ms, mfu 23.16%, ETA: 5d 9h, progress: 0.1%
iter 420: loss 5.6894, time 736.20ms, mfu 23.13%, ETA: 5d 9h, progress: 0.1%
iter 430: loss 6.0703, time 733.73ms, mfu 23.11%, ETA: 5d 9h, progress: 0.1%
iter 440: loss 5.6849, time 739.79ms, mfu 23.08%, ETA: 5d 9h, progress: 0.1%
iter 450: loss 5.5982, time 724.22ms, mfu 23.09%, ETA: 5d 9h, progress: 0.1%
iter 460: loss 5.8777, time 726.15ms, mfu 23.10%, ETA: 5d 8h, progress: 0.1%
iter 470: loss 5.5343, time 737.98ms, mfu 23.07%, ETA: 5d 8h, progress: 0.1%
iter 480: loss 5.6535, time 721.17ms, mfu 23.10%, ETA: 5d 8h, progress: 0.1%
iter 490: loss 5.6114, time 718.71ms, mfu 23.13%, ETA: 5d 8h, progress: 0.1%
iter 500: loss 5.4513, time 728.12ms, mfu 23.13%, ETA: 5d 8h, progress: 0.1%
iter 510: loss 5.6316, time 727.85ms, mfu 23.13%, ETA: 5d 8h, progress: 0.1%
iter 520: loss 5.2345, time 742.76ms, mfu 23.08%, ETA: 5d 8h, progress: 0.1%
iter 530: loss 5.5690, time 743.67ms, mfu 23.04%, ETA: 5d 8h, progress: 0.1%
iter 540: loss 5.3773, time 730.92ms, mfu 23.04%, ETA: 5d 7h, progress: 0.1%
iter 550: loss 5.4694, time 735.50ms, mfu 23.02%, ETA: 5d 7h, progress: 0.1%
iter 560: loss 5.3178, time 742.85ms, mfu 22.99%, ETA: 5d 7h, progress: 0.1%
iter 570: loss 5.2581, time 736.23ms, mfu 22.97%, ETA: 5d 7h, progress: 0.1%
iter 580: loss 5.3249, time 722.40ms, mfu 23.01%, ETA: 5d 7h, progress: 0.1%
iter 590: loss 5.3211, time 739.49ms, mfu 22.98%, ETA: 5d 7h, progress: 0.1%
