step 0: train loss 10.9987, val loss 10.9994
iter 0: loss 11.0000, time 15030.36ms
iter 10: loss 11.0000, time 163.50ms, ETA: 11d 13h, progress: 0.0%
iter 20: loss 11.0000, time 166.02ms, ETA: 6d 8h, progress: 0.0%
iter 30: loss 11.0000, time 164.24ms, ETA: 4d 14h, progress: 0.0%
iter 40: loss 10.5625, time 177.16ms, ETA: 3d 18h, progress: 0.0%
iter 50: loss 10.5625, time 163.99ms, ETA: 3d 6h, progress: 0.0%
iter 60: loss 10.5625, time 165.87ms, ETA: 2d 21h, progress: 0.0%
iter 70: loss 10.6250, time 166.17ms, ETA: 2d 15h, progress: 0.0%
iter 80: loss 10.1250, time 173.57ms, ETA: 2d 11h, progress: 0.0%
iter 90: loss 10.1875, time 164.38ms, ETA: 2d 7h, progress: 0.0%
iter 100: loss 10.1250, time 165.04ms, ETA: 2d 4h, progress: 0.0%
iter 110: loss 10.1250, time 165.42ms, ETA: 2d 2h, progress: 0.0%
iter 120: loss 9.8125, time 163.45ms, ETA: 2d 0h, progress: 0.0%
iter 130: loss 9.8125, time 167.83ms, ETA: 1d 23h, progress: 0.0%
iter 140: loss 9.8125, time 165.42ms, ETA: 1d 21h, progress: 0.0%
iter 150: loss 9.8750, time 164.72ms, ETA: 1d 20h, progress: 0.0%
iter 160: loss 9.6250, time 162.68ms, ETA: 1d 19h, progress: 0.0%
iter 170: loss 9.5000, time 167.76ms, ETA: 1d 18h, progress: 0.0%
iter 180: loss 9.6875, time 167.41ms, ETA: 1d 17h, progress: 0.0%
iter 190: loss 9.6250, time 168.50ms, ETA: 1d 16h, progress: 0.0%
iter 200: loss 9.5625, time 164.61ms, ETA: 1d 16h, progress: 0.0%
iter 210: loss 9.4375, time 167.82ms, ETA: 1d 15h, progress: 0.0%
iter 220: loss 9.6250, time 167.84ms, ETA: 1d 15h, progress: 0.0%
iter 230: loss 9.6875, time 169.29ms, ETA: 1d 14h, progress: 0.0%
iter 240: loss 9.4375, time 164.84ms, ETA: 1d 14h, progress: 0.0%
