step 0: train loss 10.9987, val loss 10.9994
iter 0: loss 11.0000, time 15773.37ms
iter 10: loss 11.0000, time 172.69ms, ETA: 12d 3h, progress: 0.0%
iter 20: loss 11.0000, time 172.03ms, ETA: 6d 16h, progress: 0.0%
iter 30: loss 11.0000, time 170.39ms, ETA: 4d 20h, progress: 0.0%
iter 40: loss 10.5625, time 177.60ms, ETA: 3d 22h, progress: 0.0%
iter 50: loss 10.5625, time 171.04ms, ETA: 3d 9h, progress: 0.0%
iter 60: loss 10.5625, time 172.36ms, ETA: 3d 0h, progress: 0.0%
iter 70: loss 10.6250, time 173.82ms, ETA: 2d 18h, progress: 0.0%
iter 80: loss 10.1250, time 179.95ms, ETA: 2d 13h, progress: 0.0%
iter 90: loss 10.1875, time 173.43ms, ETA: 2d 10h, progress: 0.0%
iter 100: loss 10.1250, time 172.07ms, ETA: 2d 7h, progress: 0.0%
iter 110: loss 10.1250, time 172.03ms, ETA: 2d 4h, progress: 0.0%
iter 120: loss 9.8125, time 166.74ms, ETA: 2d 2h, progress: 0.0%
iter 130: loss 9.8125, time 172.66ms, ETA: 2d 1h, progress: 0.0%
iter 140: loss 9.8125, time 174.33ms, ETA: 1d 23h, progress: 0.0%
iter 150: loss 9.8750, time 171.97ms, ETA: 1d 22h, progress: 0.0%
iter 160: loss 9.6250, time 167.77ms, ETA: 1d 21h, progress: 0.0%
iter 170: loss 9.5000, time 171.55ms, ETA: 1d 20h, progress: 0.0%
iter 180: loss 9.6875, time 174.01ms, ETA: 1d 19h, progress: 0.0%
iter 190: loss 9.6250, time 174.65ms, ETA: 1d 18h, progress: 0.0%
iter 200: loss 9.5625, time 169.89ms, ETA: 1d 17h, progress: 0.0%
iter 210: loss 9.4375, time 175.35ms, ETA: 1d 17h, progress: 0.0%
iter 220: loss 9.6250, time 176.16ms, ETA: 1d 16h, progress: 0.0%
iter 230: loss 9.6875, time 176.51ms, ETA: 1d 16h, progress: 0.0%
iter 240: loss 9.4375, time 170.53ms, ETA: 1d 15h, progress: 0.0%
iter 250: loss 9.3750, time 174.98ms, ETA: 1d 15h, progress: 0.0%
iter 260: loss 9.3125, time 174.15ms, ETA: 1d 15h, progress: 0.0%
iter 270: loss 9.5000, time 174.63ms, ETA: 1d 14h, progress: 0.0%
iter 280: loss 9.3750, time 172.19ms, ETA: 1d 14h, progress: 0.0%
iter 290: loss 9.4375, time 176.62ms, ETA: 1d 13h, progress: 0.0%
iter 300: loss 9.3750, time 175.42ms, ETA: 1d 13h, progress: 0.1%
iter 310: loss 9.7500, time 173.54ms, ETA: 1d 13h, progress: 0.1%
iter 320: loss 9.3125, time 172.01ms, ETA: 1d 13h, progress: 0.1%
iter 330: loss 9.2500, time 176.18ms, ETA: 1d 12h, progress: 0.1%
iter 340: loss 9.2500, time 177.85ms, ETA: 1d 12h, progress: 0.1%
iter 350: loss 9.3750, time 177.73ms, ETA: 1d 12h, progress: 0.1%
iter 360: loss 9.1250, time 171.33ms, ETA: 1d 12h, progress: 0.1%
iter 370: loss 9.1875, time 178.46ms, ETA: 1d 12h, progress: 0.1%
iter 380: loss 9.1875, time 177.65ms, ETA: 1d 11h, progress: 0.1%
iter 390: loss 9.1875, time 176.22ms, ETA: 1d 11h, progress: 0.1%
[2025-08-27 20:17:07,543] [INFO] [logging.py:107:log_dist] [Rank 0] step=10, skipped=0, lr=[0.00011994002998500749], mom=[[0.9, 0.95]]
[2025-08-27 20:17:07,555] [INFO] [timer.py:264:stop] epoch=0/micro_step=400/global_step=10, RunningAvgSamplesPerSec=660.5725520432857, CurrSamplesPerSec=650.4008734518527, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 400: loss 9.1250, time 170.96ms, ETA: 1d 11h, progress: 0.1%
iter 410: loss 9.1250, time 176.36ms, ETA: 1d 11h, progress: 0.1%
iter 420: loss 9.1250, time 179.21ms, ETA: 1d 11h, progress: 0.1%
iter 430: loss 9.1875, time 178.60ms, ETA: 1d 11h, progress: 0.1%
iter 440: loss 8.9375, time 171.62ms, ETA: 1d 11h, progress: 0.1%
iter 450: loss 8.8750, time 179.26ms, ETA: 1d 10h, progress: 0.1%
iter 460: loss 8.9375, time 178.63ms, ETA: 1d 10h, progress: 0.1%
iter 470: loss 9.0000, time 178.34ms, ETA: 1d 10h, progress: 0.1%
iter 480: loss 8.8750, time 173.51ms, ETA: 1d 10h, progress: 0.1%
iter 490: loss 8.8125, time 172.18ms, ETA: 1d 10h, progress: 0.1%
iter 500: loss 9.0625, time 179.67ms, ETA: 1d 10h, progress: 0.1%
iter 510: loss 8.8125, time 179.83ms, ETA: 1d 10h, progress: 0.1%
iter 520: loss 8.6250, time 172.45ms, ETA: 1d 10h, progress: 0.1%
iter 530: loss 8.9375, time 179.13ms, ETA: 1d 10h, progress: 0.1%
iter 540: loss 8.6875, time 180.12ms, ETA: 1d 10h, progress: 0.1%
iter 550: loss 8.7500, time 179.52ms, ETA: 1d 10h, progress: 0.1%
iter 560: loss 8.4375, time 172.46ms, ETA: 1d 9h, progress: 0.1%
iter 570: loss 8.5000, time 178.78ms, ETA: 1d 9h, progress: 0.1%
iter 580: loss 8.6250, time 179.95ms, ETA: 1d 9h, progress: 0.1%
iter 590: loss 8.5000, time 180.63ms, ETA: 1d 9h, progress: 0.1%
iter 600: loss 8.5000, time 172.74ms, ETA: 1d 9h, progress: 0.1%
iter 610: loss 8.5625, time 179.46ms, ETA: 1d 9h, progress: 0.1%
iter 620: loss 8.3750, time 177.03ms, ETA: 1d 9h, progress: 0.1%
iter 630: loss 8.3750, time 179.78ms, ETA: 1d 9h, progress: 0.1%
iter 640: loss 8.4375, time 172.86ms, ETA: 1d 9h, progress: 0.1%
iter 650: loss 8.3750, time 180.15ms, ETA: 1d 9h, progress: 0.1%
iter 660: loss 8.3750, time 180.12ms, ETA: 1d 9h, progress: 0.1%
iter 670: loss 8.6250, time 180.92ms, ETA: 1d 9h, progress: 0.1%
iter 680: loss 8.5000, time 172.96ms, ETA: 1d 9h, progress: 0.1%
iter 690: loss 8.1875, time 179.53ms, ETA: 1d 9h, progress: 0.1%
iter 700: loss 8.2500, time 180.35ms, ETA: 1d 9h, progress: 0.1%
iter 710: loss 8.2500, time 181.33ms, ETA: 1d 9h, progress: 0.1%
iter 720: loss 8.2500, time 173.82ms, ETA: 1d 9h, progress: 0.1%
iter 730: loss 7.9375, time 180.62ms, ETA: 1d 8h, progress: 0.1%
iter 740: loss 7.9375, time 180.14ms, ETA: 1d 8h, progress: 0.1%
iter 750: loss 7.8750, time 180.47ms, ETA: 1d 8h, progress: 0.1%
iter 760: loss 7.9375, time 174.44ms, ETA: 1d 8h, progress: 0.1%
iter 770: loss 8.0625, time 180.06ms, ETA: 1d 8h, progress: 0.1%
iter 780: loss 7.9688, time 180.90ms, ETA: 1d 8h, progress: 0.1%
