step 0: train loss 11.0003, val loss 11.0013
iter 0: loss 11.0000, time 57121.90ms
iter 10: loss 11.0000, time 312.80ms, ETA: 41d 19h, progress: 0.0%
iter 20: loss 11.0000, time 319.05ms, ETA: 21d 22h, progress: 0.0%
iter 30: loss 11.0000, time 327.92ms, ETA: 15d 7h, progress: 0.0%
iter 40: loss 10.5625, time 312.50ms, ETA: 12d 3h, progress: 0.0%
iter 50: loss 10.5625, time 305.80ms, ETA: 10d 2h, progress: 0.0%
iter 60: loss 10.5625, time 314.39ms, ETA: 8d 18h, progress: 0.0%
iter 70: loss 10.5625, time 299.08ms, ETA: 7d 19h, progress: 0.0%
iter 80: loss 10.0625, time 339.25ms, ETA: 7d 2h, progress: 0.0%
iter 90: loss 10.0625, time 332.87ms, ETA: 6d 13h, progress: 0.0%
iter 100: loss 10.0625, time 309.14ms, ETA: 6d 3h, progress: 0.0%
iter 110: loss 10.0625, time 333.21ms, ETA: 5d 18h, progress: 0.0%
iter 120: loss 9.8125, time 323.25ms, ETA: 5d 11h, progress: 0.0%
iter 130: loss 9.7500, time 366.06ms, ETA: 5d 6h, progress: 0.0%
iter 140: loss 9.7500, time 347.78ms, ETA: 5d 1h, progress: 0.0%
iter 150: loss 9.8125, time 294.03ms, ETA: 4d 20h, progress: 0.0%
iter 160: loss 9.6250, time 334.68ms, ETA: 4d 16h, progress: 0.0%
iter 170: loss 9.5625, time 338.12ms, ETA: 4d 13h, progress: 0.0%
iter 180: loss 9.5625, time 330.55ms, ETA: 4d 10h, progress: 0.0%
iter 190: loss 9.6250, time 312.33ms, ETA: 4d 7h, progress: 0.0%
iter 200: loss 9.5625, time 362.43ms, ETA: 4d 5h, progress: 0.0%
iter 210: loss 9.5625, time 353.11ms, ETA: 4d 3h, progress: 0.0%
iter 220: loss 9.5000, time 355.71ms, ETA: 4d 1h, progress: 0.0%
iter 230: loss 9.5000, time 311.88ms, ETA: 3d 23h, progress: 0.0%
iter 240: loss 9.4375, time 312.01ms, ETA: 3d 21h, progress: 0.0%
iter 250: loss 9.4375, time 323.33ms, ETA: 3d 19h, progress: 0.0%
iter 260: loss 9.4375, time 318.01ms, ETA: 3d 18h, progress: 0.0%
iter 270: loss 9.5000, time 322.42ms, ETA: 3d 16h, progress: 0.0%
